"","QxSM001.INOC","QxSM002.INOC","QxSM003.INOC","QxSM005.INOC","QxSM008.INOC","QxSM010.INOC","QxSM011.INOC","QxSM013.INOC","QxSM014.INOC","QxSM015.INOC","QxSM016.INOC","QxSM017.INOC","QxSM018.INOC","QxSM019.INOC","QxSM023.INOC","QxSM026.INOC","QxSM028.INOC","QxSM029.INOC","QxSM030.INOC","QxSM031.INOC","QxSM033.INOC","QxSM034.INOC","QxSM035.INOC","QxSM036.INOC","QxSM037.INOC","QxSM038.INOC","QxSM039.INOC","QxSM041.INOC","QxSM042.INOC","QxSM043.INOC","QxSM045.INOC","QxSM046.INOC","QxSM047.INOC","QxSM048.INOC","QxSM049.INOC","QxSM050.INOC","QxSM052.INOC","QxSM054.INOC","QxSM055.INOC","QxSM056.INOC","QxSM057.INOC","QxSM058.INOC","QxSM059.INOC","QxSM060.INOC","QxSM061.INOC","QxSM062.INOC","QxSM063.INOC","QxSM065.INOC","QxSM066.INOC","QxSM067.INOC","QxSM068.INOC","QxSM069.INOC","QxSM070.INOC","QxSM073.INOC","QxSM074.INOC","QxSM075.INOC","QxSM076.INOC","QxSM077.INOC","QxSM078.INOC","QxSM079.INOC","QxSM080.INOC","QxSM082.INOC","QxSM083.INOC","QxSM084.INOC","QxSM085.INOC","QxSM086.INOC","QxSM087.INOC","QxSM088.INOC","QxSM089.INOC","QxSM090.INOC","QxSM091.INOC","QxSM093.INOC","QxSM094.INOC","QxSM095.INOC","QxSM097.INOC"
"Contig13350_at",1.99,0.75,1.27,2.45,0.29,1.06,0.319999999999999,2.02,-0.0699999999999994,1.06,2.18,1.57,1.42,2.89,0.37,0.62,0.48,1.39,1.1,1.26,1.39,1.39,0.69,0.98,0,0.72,1.92,3.4,1.81,1.72,0.390000000000001,0.87,0.04,0.87,0.68,0.52,2.07,1.06,2.98,0.66,0.73,0.510000000000001,0.62,0.470000000000001,2.76,0.32,1.53,0.95,0.840000000000001,0.55,1.5,0.64,1.8,0.71,1.73,1.47,1.29,0.449999999999999,0.79,1.14,0.79,1.12,0.98,0.98,1.03,0.63,1.75,1.69,2.7,-0.43,1.29,0.54,1.41,-0.47,0.73
"Contig3667_s_at",0.660000000000001,1.25,1.73,1.82,0.55,0.870000000000001,1.43,2.59,-0.15,1.02,2.3,1.37,0.81,1.59,0.590000000000001,1.31,0.41,1.97,1.68,2.31,1.37,1.43,0.00999999999999979,1.26,0.53,1.37,2.21,3.4,1.42,1.64,0.15,1.39,0.96,1.59,1.36,0.460000000000001,2.94,0.82,3.52,0.44,1.89,0.17,1,1.01,2.61,1.26,2.57,0.74,0.93,0.529999999999999,0.81,0.8,1.63,0.739999999999999,1.54,1.77,0.96,1.61,0.55,1.74,1.64,0.15,1.39,1.76,1.06,1.59,1.41,1.23,1.37,-2.13,2.35,0.859999999999999,1.24,0.34,0.58
"EBem10_SQ002_I10_s_at",1.31,1.38,2.34,2.23,0.76,0.569999999999999,1.17,2.13,-0.609999999999999,1.02,1.4,0.76,1.05,2.45,0.699999999999999,1.15,0.149999999999999,1.69,1.61,2.29,0.850000000000001,0.82,0.17,1.85,0.26,1.55,1.98,2.49,1.36,1.39,0.149999999999999,0.64,0.680000000000001,1.32,1.64,0.41,2.1,1.39,3.14,1.45,1.65,-0.13,0.8,0.6,2.71,1.11,1.93,1,0.69,0.58,0.66,0.26,1.35,0.63,0.83,2,0.329999999999999,0.75,0.23,1.39,1.08,0.62,0.91,1.64,0.7,1.65,1.59,0.859999999999999,1.83,-2.56,1.6,0.63,1.3,1.24,0.57
"Contig2787_s_at",-0.42,2.76,1.82,2.31,1.24,1.51,1.91,4.72,-1.82,1.52,4.28,4.52,3.1,0.92,1.5,3.12,1.15,2.12,1.91,2.75,4.16,3.17,-2.03,5.63,1.57,5.62,5.47,5.37,3.71,3.33,1.07,1.83,-0.92,1.19,4.05,0.350000000000001,5.78,3.86,4.41,2.7,-0.33,-0.339999999999999,2.28,1.54,4.8,0.72,2.86,3.05,2.2,2.37,1.44,0.21,1.05,0.92,0.79,4.23,2.31,1.65,-1.64,2.48,0.37,0.31,1.65,1.03,1.18,4.86,3.39,1.83,-0.52,-1.55,2.57,1.21,3.83,-1.19,0.17
"HVSMEm0003C15r2_s_at",0.42,0.449999999999999,1.46,2.68,1.98,0.510000000000002,-0.00999999999999979,4.95,-0.870000000000001,1.88,2.91,3.32,1.82,2.17,1.69,2.66,2.37,4.04,3.24,2.56,3.99,3.42,-1.03,2.06,1.2,1.71,3.09,4.36,2.92,2.63,0.34,2,-0.49,1.77,2.71,1.05,4.38,1.02,3.55,2.31,1.18,0.91,0.61,1.64,3.94,1.31,2.01,1.63,2.58,2.25,-1.45,1.27,0.69,2.3,3.68,1.5,3.06,0.550000000000001,-0.54,1.68,1.15,-0.11,0.92,1.36,0.81,1.5,3.53,0.649999999999999,1.65,-1.93,3.2,0.68,1.48,-0.530000000000001,-0.0600000000000005
"Contig1637_s_at",0.159999999999999,0.82,1.33,1.95,2.14,0.85,0.0299999999999994,5.42,-0.719999999999999,2.47,3.5,3.22,2.7,2.13,2.65,2.92,2.51,4.52,3.22,2.61,4.25,4.26,-1.16,2.24,1.14,2.62,3.82,4.52,3.43,3.26,0.44,2.68,-0.9,1.64,2.95,0.62,4.69,1.48,4.05,2.93,0.899999999999999,0.45,0.27,1.98,4.1,1,1.91,1.77,3.27,2.9,-1.09,2.02,0.62,3.18,3.85,1.86,3.5,1.65,-0.43,1.94,0.65,0.58,1.12,0.96,0.91,1.51,4.57,0.760000000000001,1.46,-2.04,3.44,1.16,1.81,0.24,-0.319999999999999
"Contig2214_s_at",1.21,2.25,2.71,1.61,-0.0999999999999996,1.5,1.23,3.85,-0.279999999999999,2.38,2.44,1.9,1.99,2.17,0.9,1.63,0.0899999999999999,1.19,2.52,2.71,2.34,1.11,-0.840000000000001,4.22,-0.37,1.21,1.81,4.57,3.32,2.47,-0.14,2.09,-1.2,2.04,1.91,-0.48,2.8,1.68,3.79,0.91,0.539999999999999,0.449999999999999,0.899999999999999,1.25,3.39,1.05,1.18,4,1.12,1.16,0.89,0.78,1.49,1.9,1.04,3.89,1.1,1.66,-0.359999999999999,1.05,-0.11,0.99,0.68,1.46,1.73,1.16,1.76,2.03,2.15,-2.73,3.34,1.05,2.39,-0.389999999999999,0.88
"Contig1637_at",0.42,0.12,0.88,2.26,1.35,0.399999999999999,0.449999999999999,3.81,-0.81,1.18,1.53,1.67,0.27,1.4,0.93,1.99,0.0999999999999996,2.28,1.21,1.78,2.44,2.58,-0.989999999999999,1.89,0.21,1.32,1.89,2.13,2.06,1.84,-0.21,1.57,0.260000000000001,1.32,1.54,0.81,2.05,0.79,1.94,1.28,1.2,0.21,-0.0499999999999998,0.52,3.48,1.36,0.71,1.27,1.07,0.56,-1.15,0.350000000000001,0.38,0.56,1.43,1.01,1.87,0.91,0.630000000000001,0.7,0.71,-0.0199999999999996,0.850000000000001,0.66,0.45,1.2,2.09,0.46,0.76,-1.36,2.08,0.56,1.01,1.03,-0.47
"Contig2209_at",0.800000000000001,1.72,2.44,1.5,-0.37,1.72,0.59,3.42,-0.81,1.21,1.34,1.22,0.46,1.51,1.04,1.74,-0.32,1.03,1.34,1.82,1.78,0.59,-0.52,3.63,-0.66,0.81,0.96,3.49,2.21,2.24,-0.12,0.82,-0.239999999999999,1.79,1.02,-0.18,2.41,1.78,4.09,0.73,0.909999999999999,0.52,0.31,0.739999999999999,3.59,1.01,0.48,3.47,0.85,0.99,1.05,0.43,0.78,1.29,0.760000000000001,2.88,0.65,0.699999999999999,0.0499999999999998,0.29,0.0299999999999994,0.699999999999999,0.140000000000001,1.36,1.4,0.61,0.850000000000001,1.66,1.24,-2.39,3.24,0.859999999999999,2.19,-0.27,0.91
"Contig2212_s_at",0.78,0.42,2.9,1.51,-0.17,0.51,1.07,2.76,-1.45,-0.0500000000000007,2.52,1.77,0.279999999999999,1.44,0.92,2.15,-2.36,0.0200000000000005,0.17,1.02,1.48,0.970000000000001,-0.56,2.21,-0.38,0.680000000000001,1.43,3.59,1.4,2.03,0.11,1.54,0.55,2.05,0.42,0.71,2.54,1.36,1.93,0.710000000000001,0.68,0.6,0.159999999999999,0.61,3.6,1.25,0.58,2.35,0.94,1.53,0.279999999999999,0.12,0.65,1.99,0.89,1.56,-0.0100000000000007,0.82,2.94,0.0899999999999999,0.21,0.77,0.600000000000001,1.08,1.86,0.56,1.63,1.54,2.22,-1.48,3.23,1.57,1.81,1.73,0.76
"Contig2210_at",0.76,0.19,3.1,1.9,0.0800000000000001,1.65,0.81,1.49,-1.01,0.41,2.45,1.76,0.25,1.28,0.19,1.54,0.18,0.13,0.72,0.42,1.03,1.19,-0.0499999999999998,2.27,-0.48,0.899999999999999,0.86,3.12,0.6,1.79,0.420000000000001,-0.0499999999999998,-0.18,0.88,0.0700000000000003,0.0699999999999994,2.04,0.4,0.720000000000001,0.350000000000001,0.15,0.38,-0.0199999999999996,-0.0300000000000002,3.19,0.27,0.35,2.18,0.94,1.69,0.100000000000001,0.11,0.35,1.76,0.22,0.24,-0.25,0.66,1.31,-0.0300000000000002,0.38,0.550000000000001,0.989999999999999,0.92,2.2,0.23,1.77,1.87,2.11,-1.07,2.98,0.42,1.17,1.88,0.38
"Contig2211_at",-0.15,-0.23,0.73,0.96,-0.29,0.800000000000001,0.46,0.64,-0.26,0.0700000000000003,0.37,0.32,0.31,-0.100000000000001,0.0800000000000001,0.12,-0.37,-0.12,0.369999999999999,0.0899999999999999,0.27,0.28,0.41,0.300000000000001,0.0600000000000005,0.45,-0.0299999999999994,1.12,0.14,0.38,-0.180000000000001,-0.13,0.0200000000000005,0.17,-0.04,0.21,0.74,-0.0200000000000005,0.45,-0.0599999999999996,0.489999999999999,0.57,-0.0299999999999994,-0.0700000000000003,1.24,0.29,0.33,0.53,-0.0800000000000001,-0.0700000000000003,-0.0700000000000003,-0.0700000000000003,-0.0300000000000002,0.13,0.28,0.04,0.279999999999999,0.37,-0.42,0.13,0.0800000000000001,-0.0700000000000003,0.569999999999999,0.12,0.53,-0.37,-0.14,0.11,0.600000000000001,0.0800000000000001,0.45,0.0899999999999999,0.18,0.57,0.38
